Country,Region,Happiness_Score,GDP_per_Capita,Social_Support,Healthy_Life_Expectancy,Freedom,Generosity,Corruption_Perception,Unemployment_Rate,Education_Index
Algeria,Western Europe,6.093,11.863,0.941,68.5,0.561,-0.209,0.299,6.7,0.769
Ukraine,East Asia,4.472,8.459,0.752,56.4,0.696,-0.093,0.122,10.1,0.56
Russia,East Asia,4.487,9.548,0.604,59.4,0.675,-0.053,0.02,8.1,0.566
Belarus,East Asia,4.709,9.354,0.656,58.3,0.346,-0.043,0.152,4.9,0.638
Gabon,Southeast Asia,3.156,8.121,0.57,45.0,0.458,-0.204,0.02,12.9,0.224
Azerbaijan,Southeast Asia,4.523,10.154,0.511,50.4,0.58,0.06,0.16,7.9,0.518
Armenia,Southeast Asia,4.218,11.197,0.348,60.7,0.726,-0.258,0.036,7.2,0.598
Cyprus,East Asia,4.469,9.473,0.68,53.8,0.595,0.074,0.02,10.1,0.713
Laos,East Asia,4.763,9.319,0.7,56.8,0.567,0.031,0.168,7.9,0.549
Sri Lanka,Southeast Asia,3.76,7.659,0.68,46.1,0.559,-0.137,0.022,12.6,0.275
Yemen,North America & ANZ,4.864,9.534,0.75,55.7,0.99,0.393,0.11,8.6,0.767
Haiti,Latin America & Caribbean,5.365,9.425,0.99,61.5,0.723,-0.11,0.091,9.2,0.604
Benin,Southeast Asia,4.5,9.343,0.587,55.4,0.5,0.082,0.125,7.0,0.398
Mali,Central & Eastern Europe,4.962,10.463,0.811,56.9,0.63,0.14,0.046,10.8,0.562
Togo,East Asia,5.734,10.02,0.527,52.5,0.503,-0.181,0.263,8.7,0.612
Guinea,Western Europe,6.945,12.408,0.99,73.4,0.936,0.301,0.312,3.5,0.871
Rwanda,Central & Eastern Europe,4.567,10.411,0.634,61.7,0.84,-0.058,0.201,8.2,0.433
Malawi,Latin America & Caribbean,4.759,10.207,0.803,58.6,0.812,0.088,0.174,3.6,0.804
Niger,Southeast Asia,5.095,9.957,0.727,57.5,0.542,-0.047,0.142,9.8,0.7
Chad,Southeast Asia,3.219,7.379,0.551,46.2,0.518,-0.064,0.02,9.3,0.469
Cameroon,Western Europe,5.712,9.662,0.99,66.1,0.77,0.274,0.212,3.8,0.655
Angola,Central & Eastern Europe,5.13,10.831,0.807,60.5,0.779,0.111,0.155,4.9,0.63
Afghanistan,Western Europe,7.707,12.5,0.99,78.0,0.99,-0.099,0.396,4.9,0.99
Sudan,Latin America & Caribbean,6.093,9.612,0.871,64.1,0.762,0.255,0.213,6.4,0.736
Libya,Central & Eastern Europe,5.213,10.138,0.744,60.7,0.99,-0.274,0.13,10.9,0.73
Syria,Latin America & Caribbean,5.114,10.158,0.982,60.3,0.759,0.176,0.141,6.8,0.589
Iraq,Southeast Asia,3.894,8.418,0.573,47.9,0.486,0.112,0.02,6.9,0.484
Iran,Western Europe,6.613,12.073,0.957,68.1,0.809,-0.097,0.113,3.4,0.875
Venezuela,Central & Eastern Europe,5.605,11.901,0.792,61.0,0.789,-0.101,0.188,9.7,0.847
Tajikistan,North America & ANZ,5.645,11.105,0.962,65.9,0.81,-0.124,0.415,6.1,0.841
Uzbekistan,East Asia,4.346,8.386,0.808,59.4,0.522,-0.028,0.121,8.2,0.632
Kyrgyzstan,Western Europe,8.0,11.85,0.99,71.5,0.99,0.169,0.39,4.1,0.985
Saudi Arabia,East Asia,4.336,7.82,0.64,46.8,0.609,0.143,0.02,10.8,0.658
Qatar,Western Europe,7.418,11.51,0.99,75.6,0.99,0.441,0.33,6.9,0.951
UAE,Western Europe,7.04,12.5,0.833,74.6,0.956,0.242,0.413,7.3,0.831
Kuwait,Central & Eastern Europe,3.852,8.517,0.8,52.7,0.667,-0.047,0.02,8.4,0.712
Malaysia,Central & Eastern Europe,4.362,9.317,0.641,59.1,0.788,-0.041,0.169,6.3,0.65
Fiji,Western Europe,6.237,10.798,0.99,65.5,0.99,-0.029,0.322,4.8,0.796
Suriname,Southeast Asia,4.429,9.596,0.539,59.0,0.604,-0.227,0.099,10.3,0.462
Trinidad,Sub-Saharan Africa,2.042,8.686,0.375,47.1,0.436,-0.017,0.02,10.0,0.38
Costa Rica,East Asia,5.394,9.658,0.674,57.3,0.534,0.186,0.13,6.5,0.659
El Salvador,Sub-Saharan Africa,2.6,7.525,0.3,51.6,0.2,-0.3,0.02,12.9,0.34
Guatemala,Central & Eastern Europe,5.135,11.075,0.752,60.4,0.781,-0.118,0.222,7.5,0.71
Belize,Sub-Saharan Africa,3.112,8.734,0.441,52.6,0.442,-0.126,0.02,10.7,0.621
Dominican Republic,Western Europe,6.273,12.5,0.99,73.7,0.868,0.135,0.303,3.2,0.99
Puerto Rico,East Asia,4.56,9.22,0.796,58.7,0.562,-0.126,0.08,8.8,0.579
Botswana,Western Europe,5.581,9.9,0.979,67.7,0.985,0.235,0.314,4.9,0.846
Namibia,Western Europe,5.935,11.801,0.99,69.5,0.99,0.065,0.208,7.2,0.745
Congo,Sub-Saharan Africa,2.716,8.535,0.506,46.2,0.359,-0.121,0.02,13.1,0.459
Equatorial Guinea,East Asia,4.689,10.482,0.581,60.5,0.595,0.003,0.144,4.8,0.793
Somalia,Western Europe,7.482,12.362,0.99,69.9,0.99,0.116,0.335,3.0,0.864
Eritrea,Sub-Saharan Africa,2.307,7.726,0.3,49.2,0.301,-0.278,0.02,9.5,0.218
Djibouti,Western Europe,5.536,11.411,0.99,67.4,0.99,0.176,0.281,4.5,0.759
Comoros,Western Europe,5.803,11.435,0.99,64.5,0.802,0.118,0.225,6.1,0.674
Mauritius,Latin America & Caribbean,5.595,11.356,0.775,65.4,0.766,-0.063,0.325,4.0,0.651
Seychelles,Sub-Saharan Africa,2.0,7.547,0.3,45.0,0.276,-0.272,0.02,10.3,0.29
Mozambique,Central & Eastern Europe,4.071,8.499,0.708,50.6,0.843,0.309,0.02,7.3,0.42
Burundi,Latin America & Caribbean,5.477,11.352,0.933,67.4,0.864,0.099,0.2,7.5,0.721
Niger2,Western Europe,6.254,10.408,0.974,64.1,0.99,0.094,0.133,6.3,0.884
Chad2,Southeast Asia,5.243,10.082,0.389,54.1,0.549,-0.042,0.088,7.6,0.469
Liberia,Central & Eastern Europe,5.567,10.143,0.51,62.6,0.684,-0.093,0.278,8.3,0.806
Togo2,East Asia,4.079,8.996,0.598,58.1,0.639,0.142,0.07,8.3,0.599
Benin2,Latin America & Caribbean,4.86,11.002,0.688,64.2,0.7,0.072,0.196,6.9,0.792
Guinea2,Central & Eastern Europe,6.156,10.4,0.835,64.0,0.702,-0.046,0.074,11.2,0.592
Country_155,Central & Eastern Europe,4.478,9.139,0.848,53.9,0.678,0.094,0.052,11.5,0.678
Country_156,North America & ANZ,6.711,11.798,0.761,67.5,0.781,-0.249,0.294,2.7,0.735
Country_157,Latin America & Caribbean,5.488,11.041,0.973,67.9,0.867,-0.16,0.178,8.9,0.799
Country_158,Southeast Asia,3.71,8.572,0.674,49.9,0.474,-0.227,0.103,11.9,0.498
Country_159,North America & ANZ,5.987,12.221,0.925,66.0,0.97,0.106,0.294,3.9,0.845
Country_160,Central & Eastern Europe,3.957,8.598,0.546,58.3,0.821,0.282,0.02,10.9,0.443
Country_161,Central & Eastern Europe,5.163,10.953,0.826,64.6,0.614,0.262,0.205,10.6,0.589
Country_162,Central & Eastern Europe,5.61,11.402,0.506,66.0,0.397,0.0,0.247,5.0,0.761
Country_163,Latin America & Caribbean,4.437,9.941,0.751,63.8,0.732,0.162,0.195,6.5,0.534
Country_164,Western Europe,6.037,11.497,0.99,66.8,0.99,-0.189,0.393,7.8,0.867
Country_165,Central & Eastern Europe,5.164,10.534,0.857,63.8,0.635,-0.136,0.091,8.5,0.515
Country_166,Western Europe,6.66,12.002,0.99,71.4,0.931,0.078,0.269,5.9,0.982
Country_167,Western Europe,7.936,12.5,0.99,76.3,0.894,0.013,0.295,4.8,0.821
Country_168,North America & ANZ,4.235,9.762,0.99,66.2,0.932,0.08,0.163,8.1,0.763
Country_169,East Asia,4.566,8.987,0.719,55.7,0.674,-0.102,0.096,6.8,0.605
Country_170,North America & ANZ,5.461,9.821,0.99,60.7,0.878,-0.135,0.215,9.8,0.612
Country_171,North America & ANZ,4.069,8.79,0.99,62.0,0.829,0.247,0.135,10.2,0.726
Country_172,Central & Eastern Europe,4.646,9.876,0.697,57.5,0.614,-0.19,0.106,7.9,0.645
Country_173,Western Europe,5.747,10.453,0.99,63.1,0.794,0.15,0.25,6.3,0.725
Country_174,North America & ANZ,5.092,11.206,0.86,61.0,0.99,0.389,0.157,3.7,0.642
Country_175,Western Europe,6.366,10.89,0.99,64.8,0.972,0.04,0.464,6.0,0.687
Country_176,Southeast Asia,4.089,9.451,0.424,63.4,0.679,-0.3,0.02,10.1,0.61
Country_177,Western Europe,7.788,12.5,0.99,70.4,0.99,0.098,0.372,4.3,0.766
Country_178,North America & ANZ,5.586,10.703,0.843,60.4,0.927,0.258,0.313,9.7,0.705
Country_179,North America & ANZ,7.893,12.5,0.718,75.7,0.719,0.254,0.389,3.7,0.891
Country_180,East Asia,5.448,10.306,0.622,62.4,0.638,-0.271,0.153,9.1,0.717
Country_181,Sub-Saharan Africa,2.5,9.043,0.325,49.5,0.289,-0.172,0.02,9.7,0.328
Country_182,Southeast Asia,3.37,7.589,0.609,53.2,0.441,-0.15,0.02,10.4,0.435
Country_183,Western Europe,6.133,9.84,0.84,64.3,0.898,0.08,0.34,6.0,0.853
Country_184,Western Europe,4.994,10.336,0.938,62.2,0.781,0.536,0.043,7.4,0.77
Country_185,North America & ANZ,6.179,10.842,0.947,66.8,0.916,-0.182,0.347,5.8,0.795
Country_186,Western Europe,6.286,10.688,0.99,67.9,0.955,0.225,0.189,5.2,0.898
Country_187,Sub-Saharan Africa,4.073,9.831,0.445,60.1,0.504,-0.071,0.054,11.2,0.375
Country_188,Sub-Saharan Africa,3.417,8.341,0.326,49.6,0.371,-0.05,0.02,10.5,0.462
Country_189,Sub-Saharan Africa,3.332,7.429,0.434,49.9,0.484,-0.067,0.02,7.9,0.48
Country_190,Central & Eastern Europe,4.512,8.805,0.768,59.6,0.763,0.062,0.02,12.0,0.512
Country_191,North America & ANZ,6.475,11.711,0.765,70.3,0.75,-0.019,0.283,9.1,0.751
Country_192,Sub-Saharan Africa,3.791,10.026,0.321,56.1,0.503,-0.156,0.214,7.1,0.513
Country_193,Southeast Asia,3.707,8.055,0.571,45.9,0.403,-0.123,0.02,12.0,0.443
Country_194,Southeast Asia,4.793,10.792,0.388,58.7,0.538,-0.029,0.119,8.0,0.605
Country_195,North America & ANZ,5.673,10.244,0.977,63.1,0.99,0.031,0.183,7.1,0.905
Country_196,East Asia,4.253,8.021,0.689,52.4,0.549,0.049,0.092,10.0,0.655
Country_197,East Asia,4.214,9.603,0.629,60.2,0.51,-0.091,0.123,8.2,0.467
Country_198,East Asia,5.183,9.91,0.674,62.6,0.681,0.12,0.086,6.8,0.68
Country_199,Sub-Saharan Africa,3.025,8.089,0.476,47.7,0.422,-0.171,0.02,10.0,0.527
Country_200,Latin America & Caribbean,5.189,10.397,0.801,63.6,0.769,-0.254,0.316,5.5,0.737
Country_201,Western Europe,6.57,11.304,0.99,72.5,0.959,0.313,0.252,4.3,0.92
Country_202,Central & Eastern Europe,5.525,10.703,0.725,66.4,0.746,-0.18,0.281,6.7,0.935
Country_203,Western Europe,5.953,12.454,0.99,77.7,0.99,0.005,0.211,4.0,0.951
Country_204,Sub-Saharan Africa,2.459,7.733,0.441,49.1,0.496,-0.211,0.02,12.6,0.426
Country_205,Sub-Saharan Africa,3.721,8.914,0.454,45.0,0.444,0.08,0.031,13.6,0.55
Country_206,Latin America & Caribbean,5.052,10.912,0.75,66.1,0.813,-0.3,0.31,5.9,0.733
Country_207,East Asia,5.801,10.688,0.567,62.1,0.796,0.393,0.185,8.5,0.647
Country_208,Central & Eastern Europe,4.508,10.891,0.604,66.3,0.665,0.129,0.162,8.5,0.648
Country_209,Western Europe,8.0,12.5,0.99,80.0,0.885,0.106,0.55,2.4,0.99
Country_210,Western Europe,6.752,11.767,0.99,70.0,0.99,0.217,0.229,5.0,0.811
Country_211,North America & ANZ,6.342,12.379,0.872,65.5,0.83,0.103,0.33,7.2,0.976
Country_212,Latin America & Caribbean,5.577,11.319,0.696,64.9,0.492,0.056,0.291,7.8,0.787
Country_213,North America & ANZ,6.048,11.396,0.962,63.3,0.895,0.151,0.207,4.0,0.625
Country_214,East Asia,4.55,9.449,0.657,55.4,0.592,0.056,0.074,10.5,0.63
Country_215,Latin America & Caribbean,6.242,11.792,0.919,67.2,0.749,0.029,0.249,8.5,0.536
Country_216,Central & Eastern Europe,4.425,8.687,0.703,60.7,0.733,-0.007,0.057,7.4,0.646
Country_217,Latin America & Caribbean,5.155,10.772,0.888,61.6,0.804,0.041,0.155,7.8,0.764
Country_218,Southeast Asia,4.007,9.093,0.504,50.9,0.633,-0.107,0.212,10.9,0.476
Country_219,East Asia,4.788,9.235,0.819,60.3,0.58,0.117,0.114,8.0,0.629
Country_220,Western Europe,7.763,12.5,0.947,80.0,0.988,0.177,0.389,5.8,0.99
Country_221,Sub-Saharan Africa,2.0,6.5,0.3,45.0,0.2,-0.3,0.02,18.8,0.2
Country_222,East Asia,4.527,10.995,0.601,60.5,0.629,-0.019,0.209,6.6,0.526
Country_223,Central & Eastern Europe,4.045,7.665,0.815,51.2,0.773,0.085,0.02,7.1,0.666
Country_224,North America & ANZ,5.325,9.563,0.99,58.8,0.797,0.138,0.13,7.9,0.907
Country_225,North America & ANZ,6.109,10.614,0.853,69.9,0.902,-0.029,0.361,7.5,0.794
Country_226,North America & ANZ,5.373,10.043,0.878,61.9,0.741,0.229,0.286,6.8,0.807
Country_227,East Asia,4.001,7.265,0.639,53.6,0.698,0.119,0.02,12.8,0.647
Country_228,Western Europe,5.465,9.059,0.99,60.9,0.99,0.156,0.087,3.7,0.715
Country_229,Western Europe,6.064,11.735,0.99,67.5,0.99,0.207,0.358,6.9,0.793
Country_230,East Asia,4.138,9.259,0.57,55.9,0.571,-0.195,0.02,8.4,0.653
Country_231,East Asia,4.391,10.251,0.482,57.7,0.548,-0.292,0.184,12.0,0.775
Country_232,Sub-Saharan Africa,4.415,9.103,0.428,60.7,0.463,-0.252,0.02,13.5,0.585
Country_233,East Asia,3.639,9.06,0.899,54.2,0.622,0.117,0.144,7.6,0.481
Country_234,Western Europe,7.606,12.5,0.856,75.6,0.924,0.175,0.285,3.4,0.99
Country_235,East Asia,5.239,9.945,0.692,63.6,0.401,-0.034,0.206,9.9,0.578
Country_236,Sub-Saharan Africa,2.349,7.52,0.451,45.0,0.255,-0.057,0.02,11.9,0.261
Country_237,East Asia,5.076,10.394,0.517,53.0,0.453,-0.021,0.052,8.6,0.626
Country_238,North America & ANZ,5.716,9.403,0.99,55.2,0.969,0.039,0.126,7.7,0.841
Country_239,Western Europe,6.869,11.557,0.99,73.3,0.99,0.196,0.344,1.6,0.934
Country_240,East Asia,3.309,8.913,0.599,52.0,0.593,0.08,0.062,9.6,0.572
Country_241,Western Europe,5.09,9.251,0.99,71.2,0.891,0.255,0.251,5.4,0.798
Country_242,Latin America & Caribbean,5.395,10.657,0.795,62.6,0.779,0.211,0.353,5.9,0.736
Country_243,Central & Eastern Europe,5.619,10.699,0.626,64.9,0.791,0.063,0.101,10.0,0.767
Country_244,Latin America & Caribbean,4.528,8.156,0.823,59.6,0.692,0.145,0.195,6.4,0.339
Country_245,Latin America & Caribbean,4.578,9.519,0.71,65.0,0.765,0.198,0.144,9.8,0.613
Country_246,Sub-Saharan Africa,3.986,9.875,0.474,59.3,0.585,-0.131,0.02,9.4,0.52
Country_247,East Asia,3.819,9.283,0.552,57.8,0.643,-0.184,0.02,8.9,0.422
Country_248,North America & ANZ,6.436,12.1,0.858,74.6,0.799,-0.024,0.305,6.9,0.883
Country_249,Southeast Asia,4.232,10.479,0.41,60.9,0.641,-0.23,0.194,9.3,0.58
